age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,subscribe,date
39,management,single,tertiary,True,255.0,True,True,unknown,296,1,-1,0.0,True,2008-05-05
52,entrepreneur,married,secondary,True,113.0,True,True,unknown,127,1,-1,0.0,True,2008-05-05
46,management,single,secondary,True,-246.0,True,True,unknown,255,2,-1,0.0,True,2008-05-05
36,technician,single,secondary,True,265.0,True,True,unknown,348,1,-1,0.0,True,2008-05-05
57,technician,married,secondary,True,839.0,True,True,unknown,225,1,-1,0.0,True,2008-05-05
49,management,married,tertiary,True,378.0,True,True,unknown,230,1,-1,0.0,True,2008-05-05
60,admin.,married,secondary,True,39.0,True,True,unknown,208,1,-1,0.0,True,2008-05-05
59,blue-collar,married,secondary,True,0.0,True,True,unknown,226,1,-1,0.0,True,2008-05-05
51,management,married,tertiary,True,10635.0,True,True,unknown,336,1,-1,0.0,True,2008-05-05
57,technician,divorced,secondary,True,63.0,True,True,unknown,242,1,-1,0.0,True,2008-05-05
25,blue-collar,married,secondary,True,-7.0,True,True,unknown,365,1,-1,0.0,True,2008-05-05
53,technician,married,secondary,True,-3.0,True,True,unknown,1666,1,-1,0.0,True,2008-05-05
36,admin.,divorced,secondary,True,506.0,True,True,unknown,577,1,-1,0.0,True,2008-05-05
37,admin.,single,secondary,True,0.0,True,True,unknown,137,1,-1,0.0,True,2008-05-05
44,services,divorced,secondary,True,2586.0,True,True,unknown,160,1,-1,0.0,True,2008-05-05
50,management,married,secondary,True,49.0,True,True,unknown,180,2,-1,0.0,True,2008-05-05
60,blue-collar,married,unknown,True,104.0,True,True,unknown,22,1,-1,0.0,True,2008-05-05
54,retired,married,secondary,True,529.0,True,True,unknown,1492,1,-1,0.0,True,2008-05-05
58,retired,married,unknown,True,96.0,True,True,unknown,616,1,-1,0.0,True,2008-05-05
36,admin.,single,primary,True,-171.0,True,True,unknown,242,1,-1,0.0,True,2008-05-05
58,self-employed,married,tertiary,True,-364.0,True,True,unknown,355,1,-1,0.0,True,2008-05-05
44,technician,married,secondary,True,0.0,True,True,unknown,225,2,-1,0.0,True,2008-05-05
55,technician,divorced,secondary,True,0.0,True,True,unknown,160,1,-1,0.0,True,2008-05-05
29,management,single,tertiary,True,0.0,True,True,unknown,363,1,-1,0.0,True,2008-05-05
54,blue-collar,married,secondary,True,1291.0,True,True,unknown,266,1,-1,0.0,True,2008-05-05
48,management,divorced,tertiary,True,-244.0,True,True,unknown,253,1,-1,0.0,True,2008-05-05
32,management,married,tertiary,True,0.0,True,True,unknown,179,1,-1,0.0,True,2008-05-05
42,admin.,single,secondary,True,-76.0,True,True,unknown,787,1,-1,0.0,True,2008-05-05
24,technician,single,secondary,True,-103.0,True,True,unknown,145,1,-1,0.0,True,2008-05-05
38,entrepreneur,single,tertiary,True,243.0,True,True,unknown,174,1,-1,0.0,True,2008-05-05
38,management,single,tertiary,True,424.0,True,True,unknown,104,1,-1,0.0,True,2008-05-05
47,blue-collar,married,unknown,True,306.0,True,True,unknown,13,1,-1,0.0,True,2008-05-05
40,blue-collar,single,unknown,True,24.0,True,True,unknown,185,1,-1,0.0,True,2008-05-05
46,services,married,primary,True,179.0,True,True,unknown,1778,1,-1,0.0,True,2008-05-05
32,admin.,married,tertiary,True,0.0,True,True,unknown,138,1,-1,0.0,True,2008-05-05
53,technician,divorced,secondary,True,989.0,True,True,unknown,812,1,-1,0.0,True,2008-05-05
57,blue-collar,married,primary,True,249.0,True,True,unknown,164,1,-1,0.0,True,2008-05-05
33,services,married,secondary,True,790.0,True,True,unknown,391,1,-1,0.0,True,2008-05-05
49,blue-collar,married,unknown,True,154.0,True,True,unknown,357,1,-1,0.0,True,2008-05-05
51,management,married,tertiary,True,6530.0,True,True,unknown,91,1,-1,0.0,True,2008-05-05
60,retired,married,tertiary,True,100.0,True,True,unknown,528,1,-1,0.0,True,2008-05-05
59,management,divorced,tertiary,True,59.0,True,True,unknown,273,1,-1,0.0,True,2008-05-05
55,technician,married,secondary,True,1205.0,True,True,unknown,158,2,-1,0.0,True,2008-05-05
35,blue-collar,single,secondary,True,12223.0,True,True,unknown,177,1,-1,0.0,True,2008-05-05
57,blue-collar,married,secondary,True,5935.0,True,True,unknown,258,1,-1,0.0,True,2008-05-05
31,services,married,secondary,True,25.0,True,True,unknown,172,1,-1,0.0,True,2008-05-05
54,management,married,secondary,True,282.0,True,True,unknown,154,1,-1,0.0,True,2008-05-05
55,blue-collar,married,primary,True,23.0,True,True,unknown,291,1,-1,0.0,True,2008-05-05
43,technician,married,secondary,True,1937.0,True,True,unknown,181,1,-1,0.0,True,2008-05-05
53,technician,married,secondary,True,384.0,True,True,unknown,176,1,-1,0.0,True,2008-05-05
44,blue-collar,married,secondary,True,582.0,True,True,unknown,211,1,-1,0.0,True,2008-05-05
55,services,divorced,secondary,True,91.0,True,True,unknown,349,1,-1,0.0,True,2008-05-05
49,services,divorced,secondary,True,0.0,True,True,unknown,272,1,-1,0.0,True,2008-05-05
55,services,divorced,secondary,True,1.0,True,True,unknown,208,1,-1,0.0,True,2008-05-05
45,admin.,single,secondary,True,206.0,True,True,unknown,193,1,-1,0.0,True,2008-05-05
47,services,divorced,secondary,True,164.0,True,True,unknown,212,1,-1,0.0,True,2008-05-05
42,technician,single,secondary,True,690.0,True,True,unknown,20,1,-1,0.0,True,2008-05-05
59,admin.,married,secondary,True,2343.0,True,True,unknown,1042,1,-1,0.0,True,2008-05-05
46,self-employed,married,tertiary,True,137.0,True,True,unknown,246,1,-1,0.0,True,2008-05-05
51,blue-collar,married,primary,True,173.0,True,True,unknown,529,2,-1,0.0,True,2008-05-05
56,admin.,married,secondary,True,45.0,True,True,unknown,1467,1,-1,0.0,True,2008-05-05
41,technician,married,secondary,True,1270.0,True,True,unknown,1389,1,-1,0.0,True,2008-05-05
46,management,divorced,secondary,True,16.0,True,True,unknown,188,2,-1,0.0,True,2008-05-05
57,retired,married,secondary,True,486.0,True,True,unknown,180,2,-1,0.0,True,2008-05-05
42,management,single,secondary,True,50.0,True,True,unknown,48,1,-1,0.0,True,2008-05-05
30,technician,married,secondary,True,152.0,True,True,unknown,213,2,-1,0.0,True,2008-05-05
60,admin.,married,secondary,True,290.0,True,True,unknown,583,1,-1,0.0,True,2008-05-05
60,blue-collar,married,unknown,True,54.0,True,True,unknown,221,1,-1,0.0,True,2008-05-05
57,entrepreneur,divorced,secondary,True,-37.0,True,True,unknown,173,1,-1,0.0,True,2008-05-05
36,management,married,tertiary,True,101.0,True,True,unknown,426,1,-1,0.0,True,2008-05-05
55,blue-collar,married,secondary,True,383.0,True,True,unknown,287,1,-1,0.0,True,2008-05-05
60,retired,married,tertiary,True,81.0,True,True,unknown,101,1,-1,0.0,True,2008-05-05
39,technician,married,secondary,True,0.0,True,True,unknown,203,1,-1,0.0,True,2008-05-05
46,management,married,tertiary,True,229.0,True,True,unknown,197,1,-1,0.0,True,2008-05-05
44,blue-collar,married,secondary,True,-674.0,True,True,unknown,257,1,-1,0.0,True,2008-05-05
53,blue-collar,married,primary,True,90.0,True,True,unknown,124,1,-1,0.0,True,2008-05-05
52,blue-collar,married,primary,True,128.0,True,True,unknown,229,1,-1,0.0,True,2008-05-05
59,blue-collar,married,primary,True,179.0,True,True,unknown,55,3,-1,0.0,True,2008-05-05
27,technician,single,tertiary,True,0.0,True,True,unknown,400,1,-1,0.0,True,2008-05-05
44,blue-collar,married,secondary,True,54.0,True,True,unknown,197,1,-1,0.0,True,2008-05-05
47,technician,married,tertiary,True,151.0,True,True,unknown,190,1,-1,0.0,True,2008-05-05
34,admin.,married,secondary,True,61.0,True,True,unknown,21,1,-1,0.0,True,2008-05-05
59,retired,single,secondary,True,30.0,True,True,unknown,514,1,-1,0.0,True,2008-05-05
45,management,married,tertiary,True,523.0,True,True,unknown,849,2,-1,0.0,True,2008-05-05
29,services,divorced,secondary,True,31.0,True,True,unknown,194,1,-1,0.0,True,2008-05-05
46,technician,divorced,secondary,True,79.0,True,True,unknown,144,1,-1,0.0,True,2008-05-05
56,self-employed,married,primary,True,-34.0,True,True,unknown,212,2,-1,0.0,True,2008-05-05
36,blue-collar,married,primary,True,448.0,True,True,unknown,286,1,-1,0.0,True,2008-05-05
59,retired,divorced,primary,True,81.0,True,True,unknown,107,1,-1,0.0,True,2008-05-05
44,blue-collar,married,secondary,True,144.0,True,True,unknown,247,2,-1,0.0,True,2008-05-05
41,admin.,married,secondary,True,351.0,True,True,unknown,518,1,-1,0.0,True,2008-05-05
33,management,single,tertiary,True,-67.0,True,True,unknown,364,1,-1,0.0,True,2008-05-05
59,management,divorced,tertiary,True,262.0,True,True,unknown,178,1,-1,0.0,True,2008-05-05
57,technician,married,primary,True,0.0,True,True,unknown,98,1,-1,0.0,True,2008-05-05
56,technician,divorced,unknown,True,56.0,True,True,unknown,439,1,-1,0.0,True,2008-05-05
51,blue-collar,married,secondary,True,26.0,True,True,unknown,79,1,-1,0.0,True,2008-05-05
34,admin.,married,unknown,True,3.0,True,True,unknown,120,3,-1,0.0,True,2008-05-05
43,services,married,secondary,True,41.0,True,True,unknown,127,2,-1,0.0,True,2008-05-05
52,technician,married,tertiary,True,7.0,True,True,unknown,175,1,-1,0.0,True,2008-05-05
33,technician,single,secondary,True,105.0,True,True,unknown,262,2,-1,0.0,True,2008-05-05
29,admin.,single,secondary,True,818.0,True,True,unknown,61,1,-1,0.0,True,2008-05-05
34,services,married,secondary,True,-16.0,True,True,unknown,78,1,-1,0.0,True,2008-05-05
31,blue-collar,married,secondary,True,0.0,True,True,unknown,143,1,-1,0.0,True,2008-05-05
55,services,married,secondary,True,2476.0,True,True,unknown,579,1,-1,0.0,True,2008-05-05
55,management,married,unknown,True,1185.0,True,True,unknown,677,1,-1,0.0,True,2008-05-05
32,admin.,single,secondary,True,217.0,True,True,unknown,345,1,-1,0.0,True,2008-05-05
38,technician,single,secondary,True,1685.0,True,True,unknown,185,1,-1,0.0,True,2008-05-05
55,admin.,single,secondary,True,802.0,True,True,unknown,100,2,-1,0.0,True,2008-05-05
28,unemployed,single,tertiary,True,0.0,True,True,unknown,125,2,-1,0.0,True,2008-05-05
23,blue-collar,married,secondary,True,94.0,True,True,unknown,193,1,-1,0.0,True,2008-05-05
32,technician,single,secondary,True,0.0,True,True,unknown,136,1,-1,0.0,True,2008-05-05
43,services,single,unknown,True,0.0,True,True,unknown,73,1,-1,0.0,True,2008-05-05
32,blue-collar,married,secondary,True,517.0,True,True,unknown,528,1,-1,0.0,True,2008-05-05
46,blue-collar,married,secondary,True,265.0,True,True,unknown,541,1,-1,0.0,True,2008-05-05
53,housemaid,divorced,primary,True,947.0,True,True,unknown,163,1,-1,0.0,True,2008-05-05
34,self-employed,single,secondary,True,3.0,True,True,unknown,301,1,-1,0.0,True,2008-05-05
57,unemployed,married,tertiary,True,42.0,True,True,unknown,46,1,-1,0.0,True,2008-05-05
37,blue-collar,married,secondary,True,37.0,True,True,unknown,204,1,-1,0.0,True,2008-05-05
59,blue-collar,married,secondary,True,57.0,True,True,unknown,98,1,-1,0.0,True,2008-05-05
33,services,married,secondary,True,22.0,True,True,unknown,71,1,-1,0.0,True,2008-05-05
56,blue-collar,divorced,primary,True,8.0,True,True,unknown,157,2,-1,0.0,True,2008-05-05
48,unemployed,married,secondary,True,293.0,True,True,unknown,243,1,-1,0.0,True,2008-05-05
43,services,married,primary,True,3.0,True,True,unknown,186,2,-1,0.0,True,2008-05-05
54,blue-collar,married,primary,True,348.0,True,True,unknown,579,2,-1,0.0,True,2008-05-05
51,blue-collar,married,unknown,True,-19.0,True,True,unknown,163,2,-1,0.0,True,2008-05-05
26,student,single,secondary,True,0.0,True,True,unknown,610,2,-1,0.0,True,2008-05-05
40,management,married,tertiary,True,-4.0,True,True,unknown,2033,1,-1,0.0,True,2008-05-05
39,management,married,secondary,True,18.0,True,True,unknown,85,1,-1,0.0,True,2008-05-05
50,technician,married,primary,True,139.0,True,True,unknown,114,2,-1,0.0,True,2008-05-05
41,services,married,secondary,True,0.0,True,True,unknown,114,2,-1,0.0,True,2008-05-05
51,blue-collar,married,unknown,True,1883.0,True,True,unknown,57,1,-1,0.0,True,2008-05-05
60,retired,divorced,secondary,True,216.0,True,True,unknown,238,1,-1,0.0,True,2008-05-05
52,blue-collar,married,secondary,True,782.0,True,True,unknown,93,3,-1,0.0,True,2008-05-05
48,blue-collar,married,secondary,True,904.0,True,True,unknown,128,2,-1,0.0,True,2008-05-05
48,services,married,unknown,True,1705.0,True,True,unknown,107,1,-1,0.0,True,2008-05-05
39,technician,single,tertiary,True,47.0,True,True,unknown,181,1,-1,0.0,True,2008-05-05
47,services,single,secondary,True,176.0,True,True,unknown,303,2,-1,0.0,True,2008-05-05
40,blue-collar,married,secondary,True,1225.0,True,True,unknown,558,5,-1,0.0,True,2008-05-05
45,technician,married,secondary,True,86.0,True,True,unknown,270,1,-1,0.0,True,2008-05-05
26,admin.,single,secondary,True,82.0,True,True,unknown,228,1,-1,0.0,True,2008-05-05
52,management,married,tertiary,True,271.0,True,True,unknown,99,1,-1,0.0,True,2008-05-05
54,technician,married,secondary,True,1378.0,True,True,unknown,240,1,-1,0.0,True,2008-05-05
54,admin.,married,tertiary,True,184.0,True,True,unknown,673,2,-1,0.0,True,2008-05-05
50,blue-collar,married,primary,True,0.0,True,True,unknown,233,3,-1,0.0,True,2008-05-05
35,blue-collar,married,secondary,True,0.0,True,True,unknown,1056,1,-1,0.0,True,2008-05-05
44,services,married,secondary,True,1357.0,True,True,unknown,250,1,-1,0.0,True,2008-05-05
53,entrepreneur,married,unknown,True,19.0,True,True,unknown,252,1,-1,0.0,True,2008-05-05
35,retired,single,primary,True,434.0,True,True,unknown,138,1,-1,0.0,True,2008-05-05
60,admin.,divorced,secondary,True,92.0,True,True,unknown,130,1,-1,0.0,True,2008-05-05
53,admin.,divorced,secondary,True,1151.0,True,True,unknown,412,1,-1,0.0,True,2008-05-05
48,unemployed,married,secondary,True,41.0,True,True,unknown,179,2,-1,0.0,True,2008-05-05
34,technician,married,secondary,True,51.0,True,True,unknown,19,2,-1,0.0,True,2008-05-05
54,services,married,secondary,True,214.0,True,True,unknown,458,2,-1,0.0,True,2008-05-05
51,management,married,secondary,True,1161.0,True,True,unknown,717,1,-1,0.0,True,2008-05-05
31,services,married,tertiary,True,37.0,True,True,unknown,313,1,-1,0.0,True,2008-05-05
35,technician,divorced,secondary,True,787.0,True,True,unknown,683,2,-1,0.0,True,2008-05-05
35,services,married,secondary,True,59.0,True,True,unknown,1077,1,-1,0.0,True,2008-05-05
38,technician,married,secondary,True,253.0,True,True,unknown,416,1,-1,0.0,True,2008-05-05
36,admin.,married,tertiary,True,211.0,True,True,unknown,146,2,-1,0.0,True,2008-05-05
58,retired,married,primary,True,235.0,True,True,unknown,167,1,-1,0.0,True,2008-05-05
40,services,divorced,unknown,True,4384.0,True,True,unknown,315,1,-1,0.0,True,2008-05-05
54,management,married,secondary,True,4080.0,True,True,unknown,140,1,-1,0.0,True,2008-05-05
34,blue-collar,single,secondary,True,53.0,True,True,unknown,346,1,-1,0.0,True,2008-05-05
31,management,single,tertiary,True,0.0,True,True,unknown,562,1,-1,0.0,True,2008-05-05
51,retired,married,secondary,True,2127.0,True,True,unknown,172,1,-1,0.0,True,2008-05-05
33,management,married,tertiary,True,377.0,True,True,unknown,217,1,-1,0.0,True,2008-05-05
55,management,married,tertiary,True,73.0,True,True,unknown,142,2,-1,0.0,True,2008-05-05
42,admin.,married,secondary,True,445.0,True,True,unknown,67,1,-1,0.0,True,2008-05-05
34,blue-collar,married,secondary,True,243.0,True,True,unknown,291,1,-1,0.0,True,2008-05-05
33,blue-collar,single,secondary,True,307.0,True,True,unknown,309,2,-1,0.0,True,2008-05-05
38,services,married,secondary,True,155.0,True,True,unknown,248,1,-1,0.0,True,2008-05-05
50,technician,divorced,tertiary,True,173.0,True,True,unknown,98,1,-1,0.0,True,2008-05-05
43,management,married,tertiary,True,400.0,True,True,unknown,256,1,-1,0.0,True,2008-05-05
61,blue-collar,divorced,primary,True,1428.0,True,True,unknown,82,2,-1,0.0,True,2008-05-05
47,admin.,married,secondary,True,219.0,True,True,unknown,577,1,-1,0.0,True,2008-05-05
48,self-employed,married,tertiary,True,7.0,True,True,unknown,286,1,-1,0.0,True,2008-05-05
44,blue-collar,married,secondary,True,575.0,True,True,unknown,477,1,-1,0.0,True,2008-05-05
35,student,single,unknown,True,298.0,True,True,unknown,611,2,-1,0.0,True,2008-05-05
35,services,married,secondary,True,0.0,True,True,unknown,471,1,-1,0.0,True,2008-05-05
50,services,married,secondary,True,5699.0,True,True,unknown,381,2,-1,0.0,True,2008-05-05
41,management,married,tertiary,True,176.0,True,True,unknown,42,1,-1,0.0,True,2008-05-05
41,management,married,tertiary,True,517.0,True,True,unknown,251,1,-1,0.0,True,2008-05-05
39,services,single,unknown,True,257.0,True,True,unknown,408,1,-1,0.0,True,2008-05-05
42,retired,married,secondary,True,56.0,True,True,unknown,215,1,-1,0.0,True,2008-05-05
38,blue-collar,married,secondary,True,-390.0,True,True,unknown,287,1,-1,0.0,True,2008-05-05
53,retired,married,secondary,True,330.0,True,True,unknown,216,2,-1,0.0,True,2008-05-05
59,housemaid,divorced,primary,True,195.0,True,True,unknown,366,2,-1,0.0,True,2008-05-05
36,services,married,secondary,True,301.0,True,True,unknown,210,1,-1,0.0,True,2008-05-05
54,blue-collar,married,primary,True,-41.0,True,True,unknown,288,1,-1,0.0,True,2008-05-05
40,technician,married,tertiary,True,483.0,True,True,unknown,168,1,-1,0.0,True,2008-05-05
47,unknown,married,unknown,True,28.0,True,True,unknown,338,2,-1,0.0,True,2008-05-05
53,unemployed,married,unknown,True,13.0,True,True,unknown,410,3,-1,0.0,True,2008-05-05
46,housemaid,married,primary,True,965.0,True,True,unknown,177,1,-1,0.0,True,2008-05-05
39,management,married,tertiary,True,378.0,True,True,unknown,127,2,-1,0.0,True,2008-05-05
40,unemployed,married,secondary,True,219.0,True,True,unknown,357,1,-1,0.0,True,2008-05-05
28,blue-collar,married,primary,True,324.0,True,True,unknown,175,1,-1,0.0,True,2008-05-05
35,entrepreneur,divorced,secondary,True,-69.0,True,True,unknown,300,1,-1,0.0,True,2008-05-05
55,retired,married,secondary,True,0.0,True,True,unknown,136,1,-1,0.0,True,2008-05-05
43,technician,divorced,unknown,True,205.0,True,True,unknown,1419,1,-1,0.0,True,2008-05-05
48,blue-collar,married,primary,True,278.0,True,True,unknown,125,2,-1,0.0,True,2008-05-05
58,management,married,unknown,True,1065.0,True,True,unknown,213,3,-1,0.0,True,2008-05-05
33,management,single,tertiary,True,34.0,True,True,unknown,27,1,-1,0.0,True,2008-05-05
36,blue-collar,married,unknown,True,1033.0,True,True,unknown,238,2,-1,0.0,True,2008-05-05
53,services,divorced,secondary,True,1467.0,True,True,unknown,124,1,-1,0.0,True,2008-05-05
47,blue-collar,married,primary,True,-12.0,True,True,unknown,18,1,-1,0.0,True,2008-05-05
31,services,married,secondary,True,388.0,True,True,unknown,730,2,-1,0.0,True,2008-05-05
57,entrepreneur,married,secondary,True,294.0,True,True,unknown,746,2,-1,0.0,True,2008-05-05
53,blue-collar,married,unknown,True,1827.0,True,True,unknown,121,1,-1,0.0,True,2008-05-05
55,blue-collar,married,primary,True,627.0,True,True,unknown,247,1,-1,0.0,True,2008-05-05
45,blue-collar,married,primary,True,25.0,True,True,unknown,40,1,-1,0.0,True,2008-05-05
53,admin.,divorced,secondary,True,315.0,True,True,unknown,181,2,-1,0.0,True,2008-05-05
37,blue-collar,married,primary,True,0.0,True,True,unknown,79,1,-1,0.0,True,2008-05-05
44,admin.,divorced,secondary,True,66.0,True,True,unknown,206,1,-1,0.0,True,2008-05-05
49,blue-collar,divorced,primary,True,-9.0,True,True,unknown,389,1,-1,0.0,True,2008-05-05
46,technician,married,secondary,True,349.0,True,True,unknown,127,1,-1,0.0,True,2008-05-05
43,entrepreneur,married,unknown,True,100.0,True,True,unknown,702,1,-1,0.0,True,2008-05-05
38,admin.,married,secondary,True,0.0,True,True,unknown,151,1,-1,0.0,True,2008-05-05
43,technician,married,secondary,True,434.0,True,True,unknown,117,1,-1,0.0,True,2008-05-05
49,management,married,tertiary,True,3237.0,True,True,unknown,232,3,-1,0.0,True,2008-05-05
42,management,married,unknown,True,275.0,True,True,unknown,408,2,-1,0.0,True,2008-05-05
22,blue-collar,single,secondary,True,0.0,True,True,unknown,179,2,-1,0.0,True,2008-05-05
40,management,married,tertiary,True,207.0,True,True,unknown,39,1,-1,0.0,True,2008-05-05
39,blue-collar,married,secondary,True,483.0,True,True,unknown,282,1,-1,0.0,True,2008-05-05
51,services,married,secondary,True,2248.0,True,True,unknown,714,2,-1,0.0,True,2008-05-05
49,admin.,married,secondary,True,428.0,True,True,unknown,50,1,-1,0.0,True,2008-05-05
53,blue-collar,married,secondary,True,0.0,True,True,unknown,181,1,-1,0.0,True,2008-05-05
34,services,single,secondary,True,0.0,True,True,unknown,142,1,-1,0.0,True,2008-05-05
33,technician,divorced,secondary,True,140.0,True,True,unknown,227,1,-1,0.0,True,2008-05-05
50,management,single,tertiary,True,297.0,True,True,unknown,119,1,-1,0.0,True,2008-05-05
39,blue-collar,married,primary,True,279.0,True,True,unknown,361,1,-1,0.0,True,2008-05-05
59,entrepreneur,divorced,secondary,True,901.0,True,True,unknown,73,3,-1,0.0,True,2008-05-05
30,technician,single,secondary,True,2573.0,True,True,unknown,67,2,-1,0.0,True,2008-05-05
36,services,married,secondary,True,143.0,True,True,unknown,350,1,-1,0.0,True,2008-05-05
40,blue-collar,married,secondary,True,475.0,True,True,unknown,332,2,-1,0.0,True,2008-05-05
53,blue-collar,married,secondary,True,70.0,True,True,unknown,611,2,-1,0.0,True,2008-05-05
34,management,single,tertiary,True,318.0,True,True,unknown,113,2,-1,0.0,True,2008-05-05
37,technician,married,secondary,True,275.0,True,True,unknown,132,1,-1,0.0,True,2008-05-05
42,management,divorced,tertiary,True,742.0,True,True,unknown,58,3,-1,0.0,True,2008-05-05
41,entrepreneur,married,primary,True,236.0,True,True,unknown,151,1,-1,0.0,True,2008-05-05
30,student,single,tertiary,True,25.0,True,True,unknown,89,2,-1,0.0,True,2008-05-05
37,management,single,tertiary,True,600.0,True,True,unknown,152,1,-1,0.0,True,2008-05-05
39,admin.,divorced,secondary,True,-349.0,True,True,unknown,611,2,-1,0.0,True,2008-05-05
41,blue-collar,married,primary,True,183.0,True,True,unknown,110,2,-1,0.0,True,2008-05-05
40,blue-collar,married,primary,True,0.0,True,True,unknown,463,1,-1,0.0,True,2008-05-05
42,management,single,tertiary,True,0.0,True,True,unknown,562,2,-1,0.0,True,2008-05-05
40,blue-collar,divorced,primary,True,0.0,True,True,unknown,962,1,-1,0.0,True,2008-05-05
57,technician,married,secondary,True,1078.0,True,True,unknown,10,4,-1,0.0,True,2008-05-05
56,entrepreneur,divorced,secondary,True,155.0,True,True,unknown,118,3,-1,0.0,True,2008-05-05
37,admin.,married,secondary,True,190.0,True,True,unknown,92,2,-1,0.0,True,2008-05-05
59,retired,married,secondary,True,319.0,True,True,unknown,143,3,-1,0.0,True,2008-05-05
39,services,divorced,secondary,True,-185.0,True,True,unknown,189,3,-1,0.0,True,2008-05-05
49,services,married,secondary,True,47.0,True,True,unknown,234,2,-1,0.0,True,2008-05-05
38,services,single,secondary,True,570.0,True,True,unknown,75,2,-1,0.0,True,2008-05-05
36,self-employed,married,tertiary,True,19.0,True,True,unknown,189,2,-1,0.0,True,2008-05-05
50,blue-collar,married,primary,True,61.0,True,True,unknown,621,3,-1,0.0,True,2008-05-05
41,admin.,married,secondary,True,-62.0,True,True,unknown,55,2,-1,0.0,True,2008-05-05
54,technician,married,tertiary,True,258.0,True,True,unknown,310,4,-1,0.0,True,2008-05-05
58,blue-collar,married,primary,True,76.0,True,True,unknown,156,2,-1,0.0,True,2008-05-05
30,blue-collar,single,secondary,True,0.0,True,True,unknown,5,2,-1,0.0,True,2008-05-05
33,admin.,single,secondary,True,352.0,True,True,unknown,225,2,-1,0.0,True,2008-05-05
47,admin.,married,secondary,True,368.0,True,True,unknown,125,2,-1,0.0,True,2008-05-05
50,technician,single,tertiary,True,339.0,True,True,unknown,2,3,-1,0.0,True,2008-05-05
32,blue-collar,married,secondary,True,1331.0,True,True,unknown,286,2,-1,0.0,True,2008-05-05
40,self-employed,married,secondary,True,672.0,True,True,unknown,164,2,-1,0.0,True,2008-05-05
37,management,married,tertiary,True,58.0,True,True,unknown,98,2,-1,0.0,True,2008-05-05
54,technician,single,unknown,True,447.0,True,True,unknown,742,2,-1,0.0,True,2008-05-05
24,student,single,secondary,True,423.0,True,True,unknown,226,3,-1,0.0,True,2008-05-05
54,management,married,tertiary,True,0.0,True,True,unknown,120,2,-1,0.0,True,2008-05-05
34,technician,married,secondary,True,19.0,True,True,unknown,362,4,-1,0.0,True,2008-05-05
56,technician,divorced,primary,True,13.0,True,True,unknown,357,2,-1,0.0,True,2008-05-05
31,blue-collar,single,secondary,True,3.0,True,True,unknown,200,2,-1,0.0,True,2008-05-05
24,student,single,secondary,True,82.0,True,True,unknown,204,2,-1,0.0,True,2008-05-05
42,blue-collar,divorced,primary,True,28.0,True,True,unknown,126,3,-1,0.0,True,2008-05-05
